,평점,일시,감상평
32,10,2019.05.24 02:49,"평점 잘 안 남기는데, 너무 잘 만듦. 윌 스미스의 하드캐리와 나오미 스콧의 가창력을 미쳤음. 알라딘도 싱크로율 상당히 높고, 자파도 생각보다 나쁘지 않음. 아부는 졸귀. 개인적으로 가이 리치 영화는 거의 다 재밌는 듯하다. "
33,10,2019.05.24 23:29,알라딘이 우리시대의 겨울왕국이었구나
34,10,2019.05.23 22:03,윌스미스 지니 싱크로율 ㅋㅋㅋ
35,10,2019.05.24 03:23,엔드게임보다 재밌었다
36,10,2019.05.24 01:21,드물게 원작보다 훌륭하다
37,10,2019.05.24 01:23,캐스팅이 많이 아쉽게 느껴졌는데 예고편이 다가 아니였네요. 연기며 노래며 캐릭터 표현까지 배우들의 역량이 대단했습니다. 아라비안의 아름다움을 담은 영상미 까지 최고였습니다. 마밥양탄자를 타고 싶으시다면 4D로 보시는것을 추천합니다. 
38,10,2019.05.23 11:32,정말강추!!!알라딘의재탄생~공주너무이뻐요~~♥
39,10,2019.05.24 00:52,지니와 친구하고 싶어지는 영화
40,10,2019.05.25 03:00,공주가 순수 능력으로만 인정받아 술탄이 되는 모습이 너무 멋있더라고요 저렇게 당당하게 말할 수 있는 것은 그만큼 최고가 되기 위해 노력했으니 당당히 말할 수 있지 않을까 생각이 들었고 저 또한 열심히 살아야겠단 생각을 합니다!! 영화 너무 재밌어요 ㅎ 
41,10,2019.05.24 00:07,자스민의 speechless...저도 용기와 모험의 삶으로 계속 살아가겠습니다♡ 그리고 아그라바를 여행한 것같은 황홀한 경험을 갖게해줘서 너무 좋아요~
42,10,2019.05.23 09:56,어제 시사회로 보고 왔는데 어릴적 봤던 만화영화 ost 들 많이 나와서 진짜 너무 좋았습니다 ㅜ 미녀와야수 리메이크 버전보다 훨씬 재미있게 봤어요 일단 음악들이 신나서 좋음 강추~~
43,10,2019.05.23 14:23,다 아는 스토리라 진부할까 걱정했는데..걱정은 기우였었다 ..지니와 아부 캐릭터가 슈퍼캐리하고  디즈니의 파워를 느낄수 있는 비주얼과 음악에 상당한 만족감을 느낄수 있었다
44,10,2019.05.23 23:46,"오늘밤 꿈에서 다시 봤음 좋겠다. 주인공들, 아그라바의 풍경, 그리고 순간순간의 장면들, 귀를 홀리는 음악등 모든 것이 너무나 아름다운 영화."
45,10,2019.05.24 21:22,누가 미스캐스팅이라 했냐? 윌 스미스 아니면 누가 해? ㅋㅋㅋ 아 너무 재밌었다
46,10,2019.05.23 22:09,알라딘 만화 팬으로서 큰 기대는 안했는데...정말 최고네요!!! 이렇게까지 잘 만들었을 줄이야....자스민은 역대급입니당!!
47,10,2019.05.25 03:57,쟈스민 빡칠때 나오는 노래 개좋습니다                speechless
48,10,2019.05.25 00:38,자스민과 알라딘이 양탄자 타고 노래부르며 날던 장면이 잊혀지질 않아요.. 갑자기 울컥했음ㅠㅠ 동심으로 돌아간 느낌들어서.. 진짜 동화속에서 한편의 뮤지컬 찍고온 느낌이에요. 자스민 알라딘 윌스미스 그리고 자스민하녀까지 ㅋㅋㅋ모두다 최고에요 ㅠㅠ!! 
49,10,2019.05.23 12:51,개봉 조조로 보고옴. 믿고보는 디즈니. 지니 실사도 괜찮았음! 음악은 말할것도 없고.
50,10,2019.05.25 11:42,난 어벤져스보다 재밌는것같아....아직도 설레는 이 기분
