연번,업종명,업소명,소     재     지,전화번호
71,일반음식점,고봉민김밥인, 청주시 서원구 두꺼비로38번길 44  1층 (산남동),
72,일반음식점,골드포장마차, 청주시 서원구 호국로 72-1 (사직동 외 1필지(1층)),
73,일반음식점,연우, 청주시 서원구 1순환로1013번길 19  2층 (분평동  340-8),
74,일반음식점,샤브쌈주머니사직점, 청주시 서원구 예체로 55  푸르지오캐슬 상가동 2층 206호 207호 (사직동),
75,일반음식점,엄마손, 청주시 서원구 1순환로1063번길 44  1층 (분평동),
76,일반음식점,무쇠판 쪼글이, 청주시 서원구 원흥로80번길 31-3  1층 (산남동),
77,일반음식점,통파이브산남점, 청주시 서원구 산남로70번길 26  1층 109 110호 (산남동),
78,일반음식점,누리막회, 청주시 서원구 원마루로8번길 8-13  1층 (분평동),
79,일반음식점,꼬꼬아찌, 청주시 서원구 산남로70번길 26  1층 107호  108호 (산남동  청주브릭스타워),
80,일반음식점,왱이포차, 청주시 서원구 원마루로8번길 19  1층 (분평동),
81,일반음식점,빨간대문(門), 청주시 서원구 산남로 64 (산남동  엔젤변호사빌딩 102호(1층)),
82,일반음식점,아지트꾼, 청주시 서원구 무심서로 497 (사직동  (2층)),
83,일반음식점,리빙룸(living room), 청주시 서원구 내수동로108번길 51  지하1층 (사창동),
84,일반음식점,해뜨는아구찜, 청주시 서원구 두꺼비로38번길 26  1층 (산남동),
85,일반음식점,이모네 옛날 통닭 닭발, 청주시 서원구 두꺼비로34번길 17  1층 (산남동),
86,일반음식점,미, 청주시 서원구 두꺼비로78번길 21 (산남동  (2층)),
87,일반음식점,사계절고깃집, 청주시 서원구 청남로2005번길 54 (분평동  (1층)),
88,일반음식점,탭플레이 청주사창사거리점, 청주시 서원구 사직대로144번길 12  외 1필지   B동 1층 (사창동),
89,일반음식점,주민상회, 청주시 서원구 1순환로1107번길 10 (분평동  1층),
90,일반음식점,달빛맥주 청주산남점, 청주시 서원구 산남로 22  산남렉슬Ⅱ 1층 109호 (산남동),
91,일반음식점,공계란집.포동포동포차, 청주시 서원구 사운로 92-1  1층 (사직동),
92,일반음식점,한촌설렁탕, 청주시 서원구 1순환로 989  1층 (분평동),
93,일반음식점,갑포, 청주시 서원구 산남로70번길 18 (산남동  102호(1층)),
94,일반음식점,엄마가 뿔났닭, 청주시 서원구 대원로19번길 26  1층 (사직동),
95,일반음식점,피자알볼로(가경점), 청주시 서원구 서부로 1358 (성화동  1층),
96,일반음식점,치코파닭청주1호점, 청주시 서원구 수곡로67번길 23-2  1층 (수곡동),
97,일반음식점,미락, 청주시 서원구 장전로20번길 12 (성화동  단독주택 주건축물제1동(1층)),
98,일반음식점,올레호프, 청주시 서원구 사운로 83 (사직동  나(1층)),
99,일반음식점,옛날통닭, 청주시 서원구 구룡산로 257 (수곡동  (1층)),
100,일반음식점,동그라미, 청주시 서원구 남들로35번길 43 (모충동  (1층)),
101,일반음식점,전이대박, 청주시 서원구 원마루로8번길 8-4 (분평동  (1층)),
102,일반음식점,두릅소한우, 청주시 서원구 산미로 146  빅윈빌딩 1층 103~105호 (산남동),
103,일반음식점,명장복집, 청주시 서원구 산남로70번길 26  청주브릭스타워 2층 201 202호 (산남동),
104,일반음식점,마루벌돌구이(분평점), 청주시 서원구 1순환로 1019-1  가동 1층 (분평동),
105,일반음식점,24시 기사식당, 청주시 서원구 봉명로150번길 41  1층 (사창동  드림빌),
106,일반음식점,수민이네족발, 청주시 서원구 성화로 118  1층 (성화동),
107,일반음식점,인, 청주시 서원구 산남로62번길 15 (산남동  외 1필지 두꺼비빌딩 202호 (2층)),
108,일반음식점,맥주창고, 청주시 서원구 산남로70번길 17  2층 (산남동),
109,일반음식점,산골이야기, 청주시 서원구 1순환로1063번길 111-22  1층 (분평동),
110,일반음식점,한수위 에스(S)★459, 청주시 서원구 서부로 1436 (성화동  (1 2 3층)),
111,일반음식점,해로 산남점, 청주시 서원구 산남로70번길 34  신성미소시티블루1 1층 104호 (산남동),
112,일반음식점,라끌렛, 청주시 서원구 산남로70번길 34  1층 102호 (산남동  외 1필지 신성미소시티블루1 ),
113,일반음식점,청천순대, 청주시 서원구 장전로20번길 20  1층 (성화동),
114,일반음식점,불꽃한우, 청주시 서원구 산남로24번길 18-4  1층 (산남동),
115,일반음식점,봉구비어(수곡점), 청주시 서원구 수곡로37번길 2  1층 (수곡동),
116,일반음식점,치킨앤칩스, 청주시 서원구 모충로25번길 9  1층 104 105호 (개신동),
117,일반음식점,일품생돈, 청주시 서원구 두꺼비로38번길 39  1층 (산남동),
118,일반음식점,닭발삼촌백반, 청주시 서원구 서원남로58번길 4  2층 (모충동),
119,일반음식점,치얼스(cheers), 청주시 서원구 창직로 21  1층 (사창동),
120,일반음식점,에피소드 산남본점, 청주시 서원구 산남로62번길 24  2층 (산남동),
121,일반음식점,분평말자, 청주시 서원구 1순환로1107번길 21  1층 108호 (분평동  조은주차빌딩),
122,일반음식점,좋은밥상, 청주시 서원구 사북로 68-2  1층 (사직동),
123,일반음식점,오호리준, 청주시 서원구 두꺼비로94번길 56-13  1층 (산남동),
124,일반음식점,원조설악추어탕.삼계탕, 청주시 서원구 신성화로 49  1층 (성화동),
125,일반음식점,범프리카 인생치킨, 청주시 서원구 산남로62번길 35  신성미소시티블루2동 1층 111호 (산남동),
126,일반음식점,꼬마비아저씨, 청주시 서원구 서원남로 30 (모충동),
127,일반음식점,대소해장국 산남점, 청주시 서원구 두꺼비로78번길 77  1층 (산남동),
128,일반음식점,풍류(청주점), 청주시 서원구 두꺼비로78번길 65  1층 (산남동),
129,일반음식점,돈까스클럽, 청주시 서원구 청남로1936번길 125  1층 (분평동),
130,일반음식점,나카마, 청주시 서원구 산남로62번길 35  1층 105호 (산남동  신성미소시티블루2),
131,일반음식점,플루메리아, 청주시 서원구 1순환로674번길 18  3층 301호 (사창동),
132,일반음식점,곱창제작소, 청주시 서원구 산남로62번길 24  1층 (산남동),
133,일반음식점,카레자유, 청주시 서원구 사직대로 211  1층 (사직동),
134,일반음식점,명가, 청주시 서원구 산남로 48  2층 203호 (산남동  대운프라자),
135,일반음식점,칭따오양꼬치, 청주시 서원구 두꺼비로20번길 43  101호 (산남동),
136,일반음식점,이자카야청상, 청주시 서원구 내수동로108번길 21  2층 (사창동),
137,일반음식점,히어로즈, 청주시 서원구 서원남로 27-1  2층 (모충동),
138,일반음식점,코나(kona), 청주시 서원구 창신로25번길 3  1층 (사창동),
139,일반음식점,진원소우 청주산남점, 청주시 서원구 산미로 136  2층 (산남동),
140,일반음식점,닭발방, 청주시 서원구 내수동로114번길 28 (사창동),
141,일반음식점,처갓집 양념치킨 분평점, 청주시 서원구 안뜸로 60  1층 (분평동),
142,일반음식점,느낌, 청주시 서원구 서원남로 37  2층 (모충동),
143,일반음식점,도쿄 뒷골목 이야기, 청주시 서원구 두꺼비로94번길 18-5  1층 (산남동),
144,일반음식점,놀부옛날통닭 산남점, 청주시 서원구 산남로 60  1층 111호 (산남동  RS타워),
145,일반음식점,곱창다오, 청주시 서원구 안뜸로 2  2층 (분평동),
146,일반음식점,돼지새끼, 청주시 서원구 1순환로1063번길 61-54  1층 102호 (분평동),
147,일반음식점,동그라미치킨호프, 청주시 서원구 호국로 63  1층 (사직동),
148,일반음식점,엄마식당, 청주시 서원구 청남로2109번길 40-2  1층 (모충동),
149,일반음식점,흑염소사냥, 청주시 서원구 가장로332번길 32-17  1층 (장암동),
150,일반음식점,내풀로, 청주시 서원구 두꺼비로78번길 5  주2동 1층 109호 (산남동),
151,일반음식점,초밥한조각, 청주시 서원구 두꺼비로78번길 5  주2동 1층 107호 (산남동),
152,일반음식점,이찌바텐동, 청주시 서원구 산남로62번길 35  1층 107호 (산남동),
153,일반음식점,청춘짬뽕, 청주시 서원구 장전로6번가길 10  1층 (성화동),
154,일반음식점,퐁당퐁당, 청주시 서원구 쌍샘로 52  1층 (모충동),
155,일반음식점,곱창고, 청주시 서원구 두꺼비로78번길 71  1층 (산남동),
156,일반음식점,숯불닭발, 청주시 서원구 내수동로108번길 26  2층 (사창동),
157,일반음식점,스컬문, 청주시 서원구 두꺼비로78번길 5  주2동 1층 110호 (산남동),
158,일반음식점,친구네포차, 청주시 서원구 청남로2110번길 6  1층 (수곡동),
159,일반음식점,카페 맘스(Cafe moms), 청주시 서원구 수곡로 34  상가2동 1층 108호 (수곡동  두진백로아파트),
160,일반음식점,자연을 담은 돈까스(서원대점), 청주시 서원구 서원남로 53  2층 (모충동),
161,일반음식점,순남시래기, 청주시 서원구 사직대로 160  1층 113호 (사창동  사창 하트리움 에덴),
162,일반음식점,오빠네, 청주시 서원구 서원남로20번길 1  1층 (모충동),
163,일반음식점,젤코바, 청주시 서원구 1순환로1063번길 26  1층 101 102호 (분평동),
164,일반음식점,아속, 청주시 서원구 무심서로 387  1층 (모충동),
165,일반음식점,소학교, 청주시 서원구 산남로 56  1층 108호 (산남동  산남에버프라자),
166,일반음식점,맘스터치 성화점, 청주시 서원구 신화로 34  1층 (성화동),
167,일반음식점,두툼이생고기성화점, 청주시 서원구 장전로12번길 34  1층 101 102 103호 (성화동),
168,일반음식점,와 락, 청주시 서원구 장전로20번다길 14  1층 (성화동),
169,일반음식점,커피박스, 청주시 서원구 1순환로 1059  1층 113호 (분평동),
170,일반음식점,팔팔생고기, 청주시 서원구 구룡산로51번가길 6  1층 101호 (성화동),
171,일반음식점,느낌, 청주시 서원구 1순환로680번길 13-2  2층 (사창동),
172,일반음식점,고추장불고기, 청주시 서원구 수영로 54  1층 (수곡동),
173,일반음식점,치요남치킨수곡점, 청주시 서원구 수곡로37번길 30  1층 (수곡동),
174,일반음식점,오삼구 포차, 청주시 서원구 1순환로672번길 30  5층 (사창동),
175,일반음식점,강릉교동짬뽕 수곡산남점, 청주시 서원구 수곡로37번길 16-15  1층 (수곡동),
176,일반음식점,길밥집, 청주시 서원구 충렬로48번길 3  1층 (사직동),
177,일반음식점,김우동, 청주시 서원구 1순환로751번길 29  상가동 1층 103호 (개신동  태암베스트윙 ),
178,일반음식점,마이플레이스, 청주시 서원구 수곡로99번길 23-1  1층 (수곡동),
179,일반음식점,하루, 청주시 서원구 예체로67번길 32  1층 (사창동),
180,일반음식점,오주 분평점, 청주시 서원구 1순환로 1109  1층 110호 (분평동  호인리더스빌딩),
181,일반음식점,달랑주점, 청주시 서원구 1순환로694번길 4  2층 (사창동),
182,일반음식점,가자 참숯산꼼장어, 청주시 서원구 장전로20번나길 8  1층 (성화동),
183,일반음식점,로스팅 빈, 청주시 서원구 사직대로144번길 35-2  1 2층 (사창동),
184,일반음식점,엘리스, 청주시 서원구 장전로32번길 12  1층 (성화동),
185,일반음식점,놀부분평점(삼겹본능&흥부찜닭), 청주시 서원구 원마루로8번길 8-1  1층 (분평동),
186,일반음식점,쥬시후레쉬, 청주시 서원구 서원남로 57  1층 (모충동),
187,일반음식점,25시 가마솥통닭, 청주시 서원구 무심서로 455  1층 (사직동),
188,일반음식점,아룸파닭, 청주시 서원구 매봉로76번길 44  1층 (수곡동),
189,일반음식점,자갈치 생선구이 전문점, 청주시 서원구 예체로 147-2  1층 (사창동),
190,일반음식점,치킨의민족 청주분평방서점, 청주시 서원구 분평로6번길 8  1층 (분평동),
191,일반음식점,양푼이닭뽀끔탕포차, 청주시 서원구 구룡산로326번길 44  1층 (수곡동),
192,일반음식점,느낌이 좋아, 청주시 서원구 창신로 43  2층 (사창동),
193,일반음식점,으뜸생고기, 청주시 서원구 두꺼비로60번길 11-2  1층 (산남동),
194,일반음식점,홍스팅, 청주시 서원구 봉명로228번길 11-1  1층 (사창동),
195,일반음식점,다드림푸드, 청주시 서원구 남이면 척산길 10  1층,
