연번,업종명,업소명,소     재     지,전화번호
531,일반음식점,시장분식, 청주시 서원구 수곡로58번길 8  1층 (수곡동), 043- 231-2282
532,일반음식점,정성한가득, 청주시 서원구 신성화로 38  1층 102호 (성화동), 043- 231-2586
533,일반음식점,성화울대찌개, 청주시 서원구 장전로20번길 18  1층 (성화동), 043- 231-3549
534,일반음식점,시화가든, 청주시 서원구 성화로 32 (성화동 (1층)), 043- 231-4722
535,일반음식점,석호네닭발 성화점, 청주시 서원구 장전로 30  1층 (성화동), 043- 231-5448
536,일반음식점,또봉이통닭, 청주시 서원구 복대로17번길 11  1층 101호 (개신동), 043- 231-8342
537,일반음식점,도란도란포차, 청주시 서원구 사직대로 279-1  1층 (사직동), 043- 231-8998
538,일반음식점,박사치킨, 청주시 서원구 원마루로14번길 14  1층 (분평동), 043- 231-9282
539,일반음식점,쭈꾸미대첩, 청주시 서원구 구룡산로51번나길 9  1층 (성화동), 043- 231-9774
540,일반음식점,아이사랑방방치킨, 청주시 서원구 신화로36번길 33  1층 108호 (성화동), 043- 232-7555
541,일반음식점,청주우동, 청주시 서원구 장전로32번길 14  1층 (성화동), 043- 232-7890
542,일반음식점,소담, 청주시 서원구 2순환로 1474  2층 (죽림동), 043- 233-0099
543,일반음식점,투다리(해피점), 청주시 서원구 신화로 37 (성화동 (1층)), 043- 233-0159
544,일반음식점,주민상회, 청주시 서원구 신율로 49 (개신동 103호(1층)), 043- 233-2212
545,일반음식점,방가삼대 얼큰한뼈해장국, 청주시 서원구 사직대로164번길 26  1층 (사창동), 043- 233-2633
546,일반음식점,일미램, 청주시 서원구 신화로36번길 42  1층 101호  102호 (성화동), 043- 233-3331
547,일반음식점,스시뷔페 스시베이 청주점, 청주시 서원구 복대로 5  7층 (개신동), 043- 233-3358
548,일반음식점,또봉이통닭, 청주시 서원구 대림로 461  청주가경4주공아파트상가동 1층 104호 (죽림동), 043- 233-5577
549,일반음식점,작업반장, 청주시 서원구 신성화로 39  1층 101호 (성화동), 043- 233-7252
550,일반음식점,어서오세요, 청주시 서원구 장전로6번나길 9  1층 (성화동), 043- 233-7523
551,일반음식점,개신점 닭깡, 청주시 서원구 경신로 36  1층 (개신동), 043- 233-9111
552,일반음식점,명륜진사갈비청주개신점, 청주시 서원구 복대로 11  1층 101호 (개신동), 043- 233-9258
553,일반음식점,신전떡볶이, 청주시 서원구 복대로 19  1층 102호 (개신동  매직타워), 043- 233-9323
554,일반음식점,청정횟집, 청주시 서원구 용호로5번길 72 (죽림동 (1층)), 043- 233-9494
555,일반음식점,에꿍이치킨-충대개신점, 청주시 서원구 모충로3번길 68  1층 (개신동  외 1필지), 043- 233-9906
556,일반음식점,둥지김밥, 청주시 서원구 장전로 11  상가동 1층 105호 (성화동  성화 휴먼시아4단지), 043- 233-9919
557,일반음식점,교촌치킨가경2호점, 청주시 서원구 복대로 19  1층 110호 (개신동), 043- 233-9949
558,일반음식점,전주콩나물국밥, 청주시 서원구 복대로 19 (개신동 번지 105호), 043- 233-9954
559,일반음식점,훌랄라 치킨, 청주시 서원구 신율로 49 (개신동 번지 101호), 043- 234-0469
560,일반음식점,돼지 꽃피다, 청주시 서원구 신성화로46번길 6-8  지상1층 101호 (성화동  드림프라자2), 043- 234-1090
561,일반음식점,메이린한수위, 청주시 서원구 2순환로 1490  1층 2층 (성화동), 043- 234-3325
562,일반음식점,서울뚝배기, 청주시 서원구 예체로 119 (사창동 (지하1층)), 043- 234-3796
563,일반음식점,개신마당, 청주시 서원구 경신로 31-4  1층 (개신동), 043- 234-4233
564,일반음식점,한성토종한우, 청주시 서원구 성봉로169번길 41-2 (개신동 (1층)), 043- 234-4842
565,일반음식점,청정원 원마루 족발과 전, 청주시 서원구 원마루로8번길 7-2  1층 (분평동), 043- 234-6636
566,일반음식점,돈(豚)마루, 청주시 서원구 신율로 63  1층 (개신동), 043- 234-7989
567,일반음식점,아르떼스커피, 청주시 서원구 복대로 15  1층 (개신동), 043- 234-9395
568,일반음식점,녹두꽃, 청주시 서원구 신화로 38  1층 103호 (성화동  POWER프라자 빌딩), 043- 234-9802
569,일반음식점,명인만두 청주성화점, 청주시 서원구 신화로 33  1층 108호 (성화동), 043- 235-0701
570,일반음식점,소고기굽는풍경, 청주시 서원구 신성화로 49  2층 (성화동), 043- 235-1129
571,일반음식점,진쓰부, 청주시 서원구 신화로 42  1층 101호 (성화동), 043- 235-1314
572,일반음식점,도담돈까스, 청주시 서원구 신화로 33  1층 106호 107호 (성화동), 043- 235-3340
573,일반음식점,방죽칼국수, 청주시 서원구 신화로36번길 7  1층 101호 (성화동), 043- 235-5220
574,일반음식점,다래생고기전문점, 청주시 서원구 원흥로64번길 17  1층 (산남동), 043- 235-5689
575,일반음식점,꼬끼오 옛날통닭, 청주시 서원구 신화로 42  1층 108호 (성화동  성화미네르바), 043- 235-5998
576,일반음식점,본죽개신점, 청주시 서원구 복대로 27  캐슬타워 1층 106호 (개신동), 043- 235-6665
577,일반음식점,삼화수산, 청주시 서원구 남이면 대림로 269  1층, 043- 235-7141
578,일반음식점,철통닭갈비, 청주시 서원구 장전로20번길 26  1층 (성화동), 043- 236-2016
579,일반음식점,박태규의 철통닭갈비 개신점, 청주시 서원구 신율로 49 (개신동 106호), 043- 236-2525
580,일반음식점,돌로돌 석판기사식당, 청주시 서원구 남이면 대림로 342  1층, 043- 236-5489
581,일반음식점,맛깔참죽 청주개신성화지구점, 청주시 서원구 경신로 32-15 (개신동 (1층)), 043- 236-6088
582,일반음식점,성화기사식당, 청주시 서원구 성화로 69 (죽림동 (1층)), 043- 236-6608
583,일반음식점,본죽성화점, 청주시 서원구 신화로 38  파워프라자 1층 104호 (성화동), 043- 236-7096
584,일반음식점,왕가마솥순두부, 청주시 서원구 용호로5번길 64 (죽림동 (1층)), 043- 236-8200
585,일반음식점,서당골, 청주시 서원구 남이면 석판2길 37-25, 043- 236-8509
586,일반음식점,세신구이, 청주시 서원구 성화로 81  1층 (죽림동), 043- 236-9278
587,일반음식점,차이나타운, 청주시 서원구 2순환로 1464  1층 (죽림동), 043- 237-0010
588,일반음식점,신흥각, 청주시 서원구 사직대로201번길 9-15  1층 (사직동), 043- 237-0210
589,일반음식점,팔팔대포, 청주시 서원구 구룡산로51번가길 8 (성화동  1층), 043- 237-0446
590,일반음식점,초사골불타는쭈꾸미, 청주시 서원구 경신로 31-30 (개신동 115  116호(1층)), 043- 237-1467
591,일반음식점,대박옹심이, 청주시 서원구 구룡산로 24  D동 1층 103호 (성화동  성화호반베르디움), 043- 237-3020
592,일반음식점,이츠웰족발, 청주시 서원구 장전로20번나길 3  1층 (성화동), 043- 237-3338
593,일반음식점,쿡메시야, 청주시 서원구 1순환로674번길 48 (사창동 (1층)), 043- 237-7500
594,일반음식점,마실, 청주시 서원구 서부로 1434  2층 (성화동), 043- 237-8266
595,일반음식점,죽림생고기, 청주시 서원구 성화로 107  1층 (죽림동), 043- 237-8278
596,일반음식점,BHC(비에이치씨) 가경개신점, 청주시 서원구 경신로 31-30 (개신동 (1층) 122호), 043- 237-9567
597,일반음식점,참숯불구이도야지, 청주시 서원구 신율로53번길 8 (개신동), 043- 237-9933
598,일반음식점,신전떡볶이, 청주시 서원구 장전로 73  1층 (성화동), 043- 238-0233
599,일반음식점,반갑다친구야, 청주시 서원구 대림로 459  상가동 102호 (죽림동  청주가경4주공아파트), 043- 238-2848
600,일반음식점,신선정, 청주시 서원구 구룡산로51번가길 8  1층 (성화동), 043- 238-4466
601,일반음식점,이피소(2Piso), 청주시 서원구 구룡산로51번가길 2 (성화동  (2층)), 043- 238-7773
602,일반음식점,호식이두마리치킨 청주1호점, 청주시 서원구 복대로 7 (개신동 외 1필지  103호), 043- 238-9922
603,일반음식점,닭터통닭닭발, 청주시 서원구 원마루로10번길 7 (분평동 (1층)), 043- 239-3922
604,일반음식점,교촌치킨산남성화점, 청주시 서원구 구룡산로51번가길 10  1층 (성화동), 043- 239-9942
605,일반음식점,국수가게, 청주시 서원구 모충로115번길 2  1층 (모충동), 043- 250-5771
606,일반음식점,해가불고기, 청주시 서원구 두꺼비로94번길 72-2  1층 (산남동), 043- 255-0397
607,일반음식점,CJB(씨제이비)웨딩컨벤션, 청주시 서원구 산남동 320번지 (CJB 미디어센터  지하1층  2014.9.11토지합병으로 지번변경) , 043- 257-9900
608,일반음식점,옛날식당, 청주시 서원구 청남로2133번길 5 (모충동 (1층)), 043- 258-4004
609,일반음식점,바다향, 청주시 서원구 청남로2110번길 5 (모충동 (1층)), 043- 258-4004
610,일반음식점,마산아구찜, 청주시 서원구 사운로100번길 3 (사직동), 043- 259-8935
611,일반음식점,현도향, 청주시 서원구 내수동로 91-1  지하1층 (사창동), 043- 260-0722
612,일반음식점,돌담, 청주시 서원구 남이면 남석로 229  1층  2층, 043- 260-1900
613,일반음식점,맛난김밥사랑, 청주시 서원구 사직대로265번길 19 (사직동 (1층)), 043- 260-1951
614,일반음식점,옛날흑염소, 청주시 서원구 남이면 척산길 14-2  1층, 043- 260-2364
615,일반음식점,이거시만두!, 청주시 서원구 남이면 청남로 1221  1층, 043- 260-2634
616,일반음식점,베스트리아치킨, 청주시 서원구 남이면 저산척북로 636-30  상가동 1층 105호 (남이수정아파트), 043- 260-2929
617,일반음식점,성운피자, 청주시 서원구 남이면 저산척북로 636-30  상가동 1층 104호 (남이수정아파트), 043- 260-2929
618,일반음식점,유빈이네, 청주시 서원구 남이면 저산척북로 632  1층, 043- 260-3344
619,일반음식점,대발이네왕짜장, 청주시 서원구 남이면 척산길 8, 043- 260-4035
620,일반음식점,뚱이돈까스, 청주시 서원구 사직대로 112  1층 (사창동), 043- 260-4060
621,일반음식점,맘스터치 사직운천점, 청주시 서원구 사직대로 267-1  1층 (사직동), 043- 260-4288
622,일반음식점,감나무골식당, 청주시 서원구 현도면 시목부강로 108, 043- 260-4551
623,일반음식점,삼춘네 삼겹살, 청주시 서원구 내수동로108번길 27  3층 (사창동), 043- 260-5059
624,일반음식점,남이불고기, 청주시 서원구 남이면 척산길 2  1층, 043- 260-6058
625,일반음식점,고향식당, 청주시 서원구 남이면 청남로 1217  1층, 043- 260-6607
626,일반음식점,조은식당, 청주시 서원구 남이면 청남로 1209, 043- 260-6979
627,일반음식점,고향순대, 청주시 서원구 현도면 매봉길 32-29, 043- 260-8145
628,일반음식점,보양수가든, 청주시 서원구 현도면 시목부강로 9-9, 043- 260-8262
629,일반음식점,승호옻닭, 청주시 서원구 현도면 시목외천로 133, 043- 260-8332
630,일반음식점,송죽토종마을, 청주시 서원구 현도면 죽전길 5, 043- 260-8367
631,일반음식점,고향식당, 청주시 서원구 현도면 시목3길 26-1, 043- 260-8854
632,일반음식점,버클리, 청주시 서원구 쌍샘로 96 (모충동 (1층)), 043- 260-8886
633,일반음식점,현도기사식당, 청주시 서원구 현도면 청남로 258  1층, 043- 260-9289
634,일반음식점,참두레밥상, 청주시 서원구 사직대로176번길 7 (사창동 외 1필지(1층)), 043- 260-9300
635,일반음식점,청주식당, 청주시 서원구 남이면 척산길 9  1층, 043- 260-9558
636,일반음식점,나들목, 청주시 서원구 남이면 척산5길 46-2, 043- 260-9693
637,일반음식점,25시해장국, 청주시 서원구 구룡산로 332 (수곡동 177-4.6), 043- 262-0310
638,일반음식점,옥경이실내포차, 청주시 서원구 창신로32번길 9 (사창동), 043- 262-1247
639,일반음식점,김박사면옥, 청주시 서원구 모충로117번길 1 (모충동), 043- 262-1598
640,일반음식점,삼부자집, 청주시 서원구 창신로22번길 14 (사창동 (1층)), 043- 262-2106
641,일반음식점,똘배의 황소고집, 청주시 서원구 모충로 59  상가동 101호 (모충동 주공아파트), 043- 262-2235
642,일반음식점,어화코다리냉면(본점), 청주시 서원구 1순환로 1054  2층 202호 (미평동), 043- 262-2340
643,일반음식점,수곡먹거리, 청주시 서원구 구룡산로326번길 32 (수곡동), 043- 262-2707
644,일반음식점,아웃닭, 청주시 서원구 1순환로674번길 18 (사창동 (1층)), 043- 262-3377
645,일반음식점,놀부반점, 청주시 서원구 모충로 141 (모충동), 043- 262-3573
646,일반음식점,고당순대, 청주시 서원구 쌍샘로 13-1  1층 (모충동), 043- 262-4314
647,일반음식점,부어치킨(충북대점), 청주시 서원구 1순환로674번길 66 (사창동), 043- 262-4660
648,일반음식점,대웅반점, 청주시 서원구 충렬로 31 (사직동  (1층)), 043- 262-5008
649,일반음식점,산촌한우직판장, 청주시 서원구 1순환로648번길 10 (사창동), 043- 262-6568
650,일반음식점,빨간우체통, 청주시 서원구 1순환로672번길 35 (사창동 (2층)), 043- 262-6789
651,일반음식점,섬식당, 청주시 서원구 충렬로 46 (사직동), 043- 262-6928
652,일반음식점,사직골뼈다귀감자탕해장국, 청주시 서원구 무심서로 501 (사직동), 043- 262-7076
653,일반음식점,주막거리, 청주시 서원구 사운로 131-1  1층 (사직동), 043- 262-7761
654,일반음식점,매봉지짐이, 청주시 서원구 쌍샘로 94-1  1층 (모충동), 043- 262-8288
655,일반음식점,무진순대마을, 청주시 서원구 호국로 17 (모충동), 043- 262-8331
656,일반음식점,한성칡냉면, 청주시 서원구 창직로 14  1층 (사창동), 043- 262-8886
657,일반음식점,돼지가좋은날, 청주시 서원구 서원남로 36  1층 (모충동), 043- 262-9086
658,일반음식점,쟁반통닭 수곡점, 청주시 서원구 구룡산로405번길 46 (수곡동 (1층)), 043- 262-9751
659,일반음식점,종가집 짬뽕, 청주시 서원구 남이면 청남로 1085, 043- 262-9788
660,일반음식점,주성각, 청주시 서원구 1순환로 689  1동 지하층 2 3호 (사창동  주성아파트), 043- 262-9929
661,일반음식점,괴산불고기정육점, 청주시 서원구 모충동 414번지  , 043- 263-0106
662,일반음식점,찌개고을 , 청주시 서원구 청남로2036번길 16-2 (수곡동 (1층)), 043- 263-0479
663,일반음식점,빨간지붕레스토랑, 청주시 서원구 사북로 87  5층 (사직동), 043- 263-0666
664,일반음식점,용구비어, 청주시 서원구 1순환로704번길 78 (사창동 (1층)), 043- 263-0939
665,일반음식점,피자마루개신사직점, 청주시 서원구 모충로 27-2 (개신동 (1층)), 043- 263-1082
666,일반음식점,순이네분식, 청주시 서원구 사직대로 157  1층 (사창동), 043- 263-1164
667,일반음식점,구룡산한식, 청주시 서원구 1순환로 765 (개신동 (1층)), 043- 263-1259
668,일반음식점,보릿고개, 청주시 서원구 천수로 5 (사창동 (1층)), 043- 263-1330
669,일반음식점,울진생고기촌, 청주시 서원구 천수로8번길 5  1층 (사창동), 043- 263-2061
670,일반음식점,충만치킨 충북대점, 청주시 서원구 1순환로672번길 19 (사창동 2층), 043- 263-2821
671,일반음식점,대원불고기, 청주시 서원구 천수로 14-2  마동 6호 (사창동 동신), 043- 263-3183
672,일반음식점,오복식당, 청주시 서원구 사직대로265번길 7  1층 (사직동), 043- 263-5665
673,일반음식점,트윙클, 청주시 서원구 내수동로 157 (사창동 (2층)), 043- 263-5774
674,일반음식점,청학동참숯불구이, 청주시 서원구 구룡산로 387 (수곡동), 043- 263-6162
675,일반음식점,세원축산물, 청주시 서원구 수영로24번길 8 (수곡동), 043- 263-6692
676,일반음식점,진미회포장마차, 청주시 서원구 창신로32번길 25-1  1층 (사창동), 043- 263-8253
677,일반음식점,지구촌감자탕추어탕, 청주시 서원구 신율로 70 (개신동 (1층)), 043- 263-8470
678,일반음식점,서원빈대떡, 청주시 서원구 서원남로 41-2  1층 (모충동), 043- 263-8812
679,일반음식점,청정돼지 국내산삼겹살 봉명사창점, 청주시 서원구 창직로 6 (사창동), 043- 263-8866
680,일반음식점,반달촌, 청주시 서원구 호국로26번길 54  C동 1층 (사직동), 043- 263-9640
681,일반음식점,수빈염소마을, 청주시 서원구 매봉로12번길 85 (분평동), 043- 264-0319
682,일반음식점,더큰밥버거, 청주시 서원구 내수동로102번길 54  1층 (사창동), 043- 264-0328
683,일반음식점,아지트손칼국수, 청주시 서원구 구룡산로337번길 75  A동 1층 (모충동), 043- 264-0369
684,일반음식점,느티나무집, 청주시 서원구 구룡산로326번길 65 (수곡동), 043- 264-0588
685,일반음식점,삼미통닭, 청주시 서원구 대원로 29 (사직동), 043- 264-0851
686,일반음식점,대가식당, 청주시 서원구 내수동로 153 (사창동 (1층)), 043- 264-1150
687,일반음식점,투막식당, 청주시 서원구 구룡산로375번길 104 (모충동), 043- 264-1189
688,일반음식점,조은날 숯불고기, 청주시 서원구 창신로26번길 19  1층 (사창동), 043- 264-1377
689,일반음식점,생클레어, 청주시 서원구 내수동로108번길 7  2층 (사창동), 043- 264-1555
690,일반음식점,항아리손칼국수, 청주시 서원구 호국로9번길 3  1층 (모충동), 043- 264-2810
691,일반음식점,조선주먹구이, 청주시 서원구 모충로25번길 9  1층 (개신동), 043- 264-3330
692,일반음식점,또닭또닭치킨, 청주시 서원구 서원남로57번길 2 (모충동), 043- 264-3664
693,일반음식점,일품향, 청주시 서원구 예체로117번길 3 (사창동 (1층)), 043- 264-5959
694,일반음식점,고기에 반하다, 청주시 서원구 사운로172번길 38  1층 (사직동), 043- 264-7372
695,일반음식점,대연대패삼겹살, 청주시 서원구 모충로 11  1층 (개신동), 043- 264-7726
696,일반음식점,간이역교대역점, 청주시 서원구 청남로 2092-2 (수곡동), 043- 264-7788
697,일반음식점,담쟁이, 청주시 서원구 사직대로144번길 36  B동 지하1층 (사창동), 043- 264-7987
698,일반음식점,뼈다귀에작업들어가는날, 청주시 서원구 궁뜰로 3 (미평동), 043- 264-8509
699,일반음식점,라면사랑, 청주시 서원구 청남로2074번길 4-2 (수곡동), 043- 264-8849
700,일반음식점,호야왕만두, 청주시 서원구 쌍샘로 96 (모충동 (1층)), 043- 264-9001
701,일반음식점,뚝배기해장국, 청주시 서원구 사운로 176 (사직동), 043- 264-9854
702,일반음식점,호식이 두마리치킨, 청주시 서원구 호국로26번길 34  1층 (사직동), 043- 264-9917
703,일반음식점,페리카나양념통닭, 청주시 서원구 1순환로 698 (사창동 (1층)), 043- 265-0338
704,일반음식점,배터지는생돈까스, 청주시 서원구 모충로 59 (모충동 모충주공아파트2단지상가 102호), 043- 265-0692
705,일반음식점,푸른밥상, 청주시 서원구 사운로145번길 10  1층 (사직동), 043- 265-0990
706,일반음식점,한소담, 청주시 서원구 사운로85번길 4  1층 (사직동), 043- 265-1198
707,일반음식점,국보숯불갈비, 청주시 서원구 호국로 55-1 (사직동), 043- 265-1228
708,일반음식점,싸가지떡볶이, 청주시 서원구 1순환로672번길 5 (사창동 외 1필지 (1층)), 043- 265-1251
709,일반음식점,전의불고기, 청주시 서원구 대원로 33 (사직동), 043- 265-1440
710,일반음식점,캐슬비어, 청주시 서원구 예체로29번길 17 (개신동  (삼익아파트 B동 108  109호)), 043- 265-2037
711,일반음식점,행복한세상, 청주시 서원구 예체로117번길 5  1층 (사창동), 043- 265-3324
712,일반음식점,본스치킨, 청주시 서원구 예체로67번길 46  1층 (사창동), 043- 265-3332
713,일반음식점,With Cooing(위드쿠잉)함께하는사람들, 청주시 서원구 남이면 양촌길 32  1층, 043- 265-4500
714,일반음식점,복화원, 청주시 서원구 사직대로144번길 33  1층 (사창동), 043- 265-4826
715,일반음식점,요리조리쿡쿡, 청주시 서원구 내수동로108번길 43 (사창동 (1층)), 043- 265-5556
716,일반음식점,토종한식, 청주시 서원구 사직대로144번길 10 (사창동 (1층)), 043- 265-7119
717,일반음식점,하나로식당, 청주시 서원구 서원남로58번길 19 (모충동 지하1층), 043- 265-7557
718,일반음식점,이가초밥, 청주시 서원구 대원로10번길 52  1층 (사직동), 043- 265-9221
719,일반음식점,화양양꼬치, 청주시 서원구 1순환로672번길 45  3층 (사창동), 043- 265-9898
720,일반음식점,토리덴, 청주시 서원구 1순환로672번길 30 (사창동 (1층)), 043- 265-9900
721,일반음식점,화선장, 청주시 서원구 호국로151번길 3 (사직동), 043- 266-0010
722,일반음식점,성보식당, 청주시 서원구 현도면 청남로 506-8, 043- 266-0038
723,일반음식점,소문난 손두부와 굴의만남, 청주시 서원구 내수동로 166  1층 (사창동), 043- 266-0089
724,일반음식점,일방통행, 청주시 서원구 무심서로 435  1층 (사직동), 043- 266-0306
725,일반음식점,청룡족발, 청주시 서원구 창신로32번길 1 (사창동), 043- 266-2139
726,일반음식점,산내불고기, 청주시 서원구 청남로2097번길 21 (수곡동), 043- 266-3044
727,일반음식점,삼영부속구이, 청주시 서원구 대원로37번길 3 (사직동 (1층)), 043- 266-3092
728,일반음식점,팡팡기사식당, 청주시 서원구 사북로 42  1층 (사직동), 043- 266-3182
729,일반음식점,만두가(家), 청주시 서원구 예체로67번길 37 (사창동 (1층)), 043- 266-3313
730,일반음식점,연일생고기갈비, 청주시 서원구 사운로 106  1층 (사직동), 043- 266-3324
731,일반음식점,장터부속구이, 청주시 서원구 사직대로104번길 22-1 (사창동 (1층)), 043- 266-3392
732,일반음식점,참맛나순대, 청주시 서원구 구룡산로 391 (수곡동), 043- 266-3574
733,일반음식점,고모네추어탕, 청주시 서원구 내수동로 132 (사창동 (1층)), 043- 266-3690
734,일반음식점,착한칼국수, 청주시 서원구 모충로 81  1층 (모충동), 043- 266-4146
735,일반음식점,청송얼음막걸리, 청주시 서원구 내수동로114번길 26 (사창동), 043- 266-4421
736,일반음식점,맛이차이나, 청주시 서원구 모충로96번길 26  1층 (모충동), 043- 266-4663
737,일반음식점,송면식당 , 청주시 서원구 청남로 2092-1 (수곡동), 043- 266-4729
738,일반음식점,금수정, 청주시 서원구 내수동로 91 (사창동), 043- 266-5242
739,일반음식점,산남오뎅, 청주시 서원구 산남로70번길 26  104호 (산남동  청주브릭스타워(1층)), 043- 266-5252
740,일반음식점,장날순대, 청주시 서원구 창신로 30  1층 (사창동), 043- 266-5666
741,일반음식점,대도식당, 청주시 서원구 사운로100번길 4 (사직동), 043- 266-5955
742,일반음식점,콩두부한식, 청주시 서원구 충렬로 47-2 (사직동 (1층)), 043- 266-6609
743,일반음식점,홍희통닭, 청주시 서원구 창직로 60  상가동 1층 102호 (사직동  푸르지오캐슬), 043- 266-6667
744,일반음식점,서원식당, 청주시 서원구 청남로2036번길 26  1층 (수곡동), 043- 266-6750
745,일반음식점,마루왕족발, 청주시 서원구 신화로 43  1층 (성화동), 043- 266-7778
746,일반음식점,보글보글 양푼이찌개, 청주시 서원구 1순환로1063번길 36  1층 (분평동), 043- 266-7779
747,일반음식점,바푸리숯불김밥(사직점), 청주시 서원구 창직로 60  1층 (사직동  푸르지오캐슬4단지 상가동 114호), 043- 266-8777
748,일반음식점,김밥천국, 청주시 서원구 1순환로 680 (사창동 (1층)), 043- 266-8998
749,일반음식점,이올렛(EOLET), 청주시 서원구 내수동로 117 (사창동), 043- 266-9369
750,일반음식점,소주신랑보쌈부인, 청주시 서원구 1순환로674번길 26  3층 (사창동), 043- 266-9916
751,일반음식점,일번지포차, 청주시 서원구 1순환로672번길 33  2층 3층 (사창동), 043- 267-0279
752,일반음식점,강원불고기, 청주시 서원구 수영로47번길 18-1 (수곡동), 043- 267-1359
753,일반음식점,이모네, 청주시 서원구 호국로 69 (사직동 (1층)), 043- 267-1376
754,일반음식점,전집나라, 청주시 서원구 호국로120번길 4 (사직동  (1층)), 043- 267-1516
755,일반음식점,로랜드치킨, 청주시 서원구 호국로 109 (사직동), 043- 267-2275
756,일반음식점,뽀뚜루까아저씨, 청주시 서원구 사직대로 110 (사창동), 043- 267-2666
757,일반음식점,카스타운, 청주시 서원구 천수로 5 (사창동), 043- 267-4248
758,일반음식점,경주식당, 청주시 서원구 1순환로653번길 19 (사창동), 043- 267-4362
759,일반음식점,코스모양념통닭, 청주시 서원구 매봉로189번길 36 (모충동), 043- 267-4567
760,일반음식점,유가네찌개전문점, 청주시 서원구 예체로 115 (사창동 (1층)), 043- 267-5454
761,일반음식점,후루룩쩝쩝, 청주시 서원구 모충로35번길 6  1층 (개신동), 043- 267-6366
762,일반음식점,누루황불고기, 청주시 서원구 호국로 135 (사직동), 043- 267-6394
763,일반음식점,해성모듬구이, 청주시 서원구 사직대로 301 (사직동), 043- 267-7089
764,일반음식점,비바체, 청주시 서원구 1순환로 727 (개신동 (1층)), 043- 267-8255
765,일반음식점,엄마돌솥밥, 청주시 서원구 호국로 105  1층 (사직동), 043- 267-8808
766,일반음식점,가마꿉, 청주시 서원구 모충로 18  드림빌딩 1층 (개신동), 043- 267-9289
767,일반음식점,맛존 매콤 닭불고기, 청주시 서원구 1순환로672번길 51 (사창동  (1층)), 043- 267-9390
768,일반음식점,동인돼지갈비, 청주시 서원구 예체로 1  1층 (개신동), 043- 268-0229
769,일반음식점,동태찌게유명한집, 청주시 서원구 예체로 141 (사창동 (1층)), 043- 268-1140
770,일반음식점,빡시기호프&치킨, 청주시 서원구 내수동로 170 (사창동 (1층)), 043- 268-2023
771,일반음식점,효자웰빙돈까스, 청주시 서원구 사직대로144번길 42  상가동 1층 104호 (사창동  대원칸타빌), 043- 268-2262
772,일반음식점,연정식당 , 청주시 서원구 모충로157번길 21 (사직동), 043- 268-2743
773,일반음식점,페리카나양념통닭분평점, 청주시 서원구 청남로2005번길 27  우성상가 101호 (분평동), 043- 268-2929
774,일반음식점,자연을담은 돈까스(충북대점), 청주시 서원구 내수동로108번길 51  2층 (사창동), 043- 268-3366
775,일반음식점,덕평리, 청주시 서원구 내수동로108번길 21  1층 (사창동), 043- 268-5778
776,일반음식점,도담이네 닭계장, 청주시 서원구 창신로 23 (사창동 (1층)), 043- 268-5827
777,일반음식점,몬스터피자앤펍, 청주시 서원구 내수동로 95 (사창동 (2층)), 043- 268-6200
778,일반음식점,Kush(쿠쉬), 청주시 서원구 내수동로108번길 16 (사창동), 043- 268-7945
779,일반음식점,산남치킨, 청주시 서원구 매봉로 99  나동 1층 114호 (수곡동), 043- 268-8088
780,일반음식점,왕큰손파닭(중문점), 청주시 서원구 내수동로 93  1층 (사창동), 043- 268-8292
781,일반음식점,중원양꼬치, 청주시 서원구 내수동로114번길 39  1층 101호 (사창동  유정빌리지), 043- 268-9250
782,일반음식점,정동돌삼겹살, 청주시 서원구 호국로 89 (사직동), 043- 268-9585
783,일반음식점,빅 돈부리 충북대점, 청주시 서원구 1순환로674번길 62 (사창동 (1층)), 043- 268-9881
784,일반음식점,이닭포차, 청주시 서원구 내수동로108번길 23 (사창동 (3층)), 043- 268-9911
785,일반음식점,시장통닭, 청주시 서원구 창신로32번길 1  A동 1층 (사창동), 043- 268-9981
786,일반음식점,삼포식당, 청주시 서원구 남이면 저산척북로 636-30  상가동 1층 111호 (남이수정아파트), 043- 269-0289
787,일반음식점,뚜벅이해장국, 청주시 서원구 남이면 청남로 1255  1층, 043- 269-0362
788,일반음식점,청주회맛집, 청주시 서원구 수곡로3번길 52  1층 (수곡동), 043- 269-0505
789,일반음식점,홍기와집식당, 청주시 서원구 사운로46번길 21  1층  2층 (사직동), 043- 269-0706
790,일반음식점,마루밥상, 청주시 서원구 현도면 죽전1길 71, 043- 269-1131
791,일반음식점,현도뼈해장국, 청주시 서원구 현도면 죽전1길 71, 043- 269-1132
792,일반음식점,영미네, 청주시 서원구 남이면 저산척북로 636-6, 043- 269-1677
793,일반음식점,대명관, 청주시 서원구 내수동로 136 (사창동), 043- 269-2079
794,일반음식점,25시반점, 청주시 서원구 사운로 176  1층 (사직동), 043- 269-2204
795,일반음식점,황산해물갈비 짬뽕, 청주시 서원구 현도면 청남로 193, 043- 269-3334
796,일반음식점,사직양념구이, 청주시 서원구 사운로 99 (사직동 (1층)), 043- 269-4204
797,일반음식점,고삐풀린세월마차소주방, 청주시 서원구 남이면 저산척북로 636-8, 043- 269-4489
798,일반음식점,초가정, 청주시 서원구 남이면 청남로 1403-31, 043- 269-5500
799,일반음식점,한결기사님식당, 청주시 서원구 남이면 척산리 279번지 1호  , 043- 269-5529
